original_title,budget,runtime,original_language,release_date
Jury Duty,0,88.0,en,1995-04-12
Just Cause,0,102.0,en,1995-02-17
Keiner liebt mich,0,104.0,de,1994-11-07
Kicking and Screaming,0,96.0,en,1995-10-06
Kids of the Round Table,0,89.0,en,1997-07-08
Kids,1500000,91.0,en,1995-07-28
Kiss of Death,40000000,101.0,en,1995-04-21
L'Enfer,10000000,100.0,fr,1994-02-16
La Cité des Enfants Perdus,18000000,108.0,fr,1995-05-16
La Haine,3000000,98.0,fr,1995-05-31
La Reine Margot,0,162.0,fr,1994-05-13
Ladybird Ladybird,0,101.0,en,1994-02-18
Lamerica,0,116.0,it,1994-01-01
Last Summer in the Hamptons,0,108.0,en,1995-11-22
Lawnmower Man 2: Beyond Cyberspace,0,92.0,en,1996-01-12
Le Bonheur est dans le pré,13365000,106.0,en,1995-01-31
Le confessionnal,0,100.0,fr,1995-09-29
Leaving Las Vegas,3600000,112.0,en,1995-10-27
Legends of the Fall,30000000,133.0,en,1994-12-16
Les misérables,0,175.0,fr,1995-03-22
Les parapluies de Cherbourg,0,91.0,fr,1964-02-19
Little Odessa,0,98.0,en,1994-10-27
Little Women,18000000,115.0,en,1994-12-21
Living in Oblivion,500000,89.0,en,1995-01-20
Lord of Illusions,0,119.0,en,1995-08-25
Losing Isaiah,17000000,106.0,en,1995-03-17
Love & Human Remains,0,100.0,en,1993-05-20
Love Affair,60000000,108.0,en,1994-10-21
Léon,16000000,110.0,fr,1994-09-14
Mad Love,0,95.0,en,1995-05-26
Major Payne,0,95.0,en,1995-03-24
Mallrats,6000000,94.0,en,1995-10-20
Man of the House,0,96.0,en,1995-03-03
Man of the Year,0,86.0,en,1995-09-15
Margaret's Museum,0,114.0,en,1995-09-13
Mary Reilly,47000000,104.0,en,1996-02-23
Mi Vida Loca,0,92.0,en,1994-06-08
Miami Rhapsody,6,95.0,en,1995-01-27
Mighty Aphrodite,15000000,95.0,en,1995-09-13
Mighty Morphin Power Rangers: The Movie,15000000,92.0,en,1995-06-30
Milk Money,0,108.0,en,1994-08-31
Miracle on 34th Street,0,114.0,en,1994-11-18
Mixed Nuts,15000000,97.0,en,1994-12-21
Money Train,60000000,103.0,en,1995-11-21
Moonlight and Valentino,0,100.0,en,1995-09-29
Mortal Kombat,18000000,101.0,en,1995-08-18
Mr. Holland's Opus,0,137.0,en,1995-12-29
Mr. Wrong,0,96.0,en,1996-02-16
Muppet Treasure Island,0,100.0,en,1996-02-16
Murder in the First,0,122.0,en,1995-01-20
Mute Witness,2,95.0,en,1995-09-28
My Family,5500000,128.0,en,1995-05-03
Nadja,0,93.0,en,1994-09-13
Natural Born Killers,34000000,119.0,en,1994-08-25
Nell,31000000,112.0,en,1994-12-23
Nemesis 2 - Nebula,0,83.0,en,1995-09-26
New Jersey Drive,0,98.0,en,1995-04-19
New York Cop,0,93.0,en,1993-08-14
Nick of Time,8169363,90.0,en,1995-11-22
Nico Icon,0,70.0,en,1995-02-18
Nina Takes a Lover,0,100.0,en,1995-03-03
Nine Months,0,103.0,en,1995-07-12
Nixon,44000000,192.0,en,1995-12-22
Nobody's Fool,0,110.0,en,1994-12-23
Now and Then,12000000,100.0,en,1995-10-20
Nueba Yol,0,102.0,es,1995-08-16
Once Upon a Time... When We Were Colored,0,115.0,en,1996-01-26
Once Were Warriors,0,99.0,en,1994-09-02
Only You,0,115.0,en,1994-09-17
Othello,0,123.0,en,1995-12-15
Outbreak,50000000,127.0,en,1995-03-10
Panther,0,124.0,en,1995-11-10
Party Girl,150000,94.0,en,1995-06-09
Persuasion,0,104.0,en,1995-09-27
Picture Bride,0,94.0,en,1995-05-05
Pie in the Sky,0,95.0,en,1996-02-09
Pocahontas,55000000,81.0,en,1995-06-14
